galaxy M_NSC M_GCS M_gal M_GC_max M_GC_min M_GC_lim Reff
FCC100 4720021.27 6992967.92 860000096.5486231 929640.62 54194.21 541771.056961378 1.7022760934003665
VCC1720 147372698.24 31636784.3 20209985410.4939 4805542.68 54553.1 4642350.213219066 2.601411165829684
VCC1619 484006563.35 28484955.89 17239989619.79967 4761594.95 65767.75 941343.6557621355 0.8343400671124485
VCC1883 61861745.38 35318426.54 16660000112.368414 7260092.01 33080.03 2957470.354631098 1.9990515798561006
VCC1242 43303029.05 62071768.95 15269998697.078735 7346826.11 69511.72 1675807.7710569939 1.3502991678027423
VCC784 169357159.9 16672724.78 16790011747.429838 2137025.36 59862.15 1401782.3905691076 1.1391200602908034
VCC828 131868365.64 32525428.99 13689985873.752905 9890542.92 69746.83 879319.8962690127 0.8647401026224272
VCC1250 42222266.87 8478288.64 3679999841.769708 2545095.9 81917.32 470404.96829745383 0.8855400344015245
VCC1630 394066481.61 24278456.68 11609994125.727327 4016910.18 62590.86 1063731.4508187445 1.0631200283601938
VCC1146 2113134344.74 39066969.15 8690000471.249594 15125863.07 92724.51 1438722.3822818748 1.4878905998220335
VCC1913 331465621.49 29461607.5 10739993041.948404 9240183.18 41561.54 1166260.0521166963 1.1735100141412595
VCC1125 9429562.98 19402393.83 8060001080.029838 3735922.25 55250.46 883657.158454709 1.0607198593123524
VCC1283 17868930.16 19508488.29 9080001076.294077 2662454.19 61069.77 1542849.6275320791 1.542289848400254
VCC1261 35190669.88 15437601.36 4870000434.923181 4910715.16 66292.97 1262562.2500269983 1.675880315999023
VCC698 27851096.16 45636341.56 9519998939.382856 4259715.41 84080.99 1233238.5728677413 1.2807105880740222
VCC1422 18683548.58 11530071.55 3820000326.2239823 3019008.8 53193.56 1001412.4812753282 1.543089087481077
VCC2048 5362367.01 10200229.8 2939999794.121859 3042379.04 98143.52 462536.4895907291 0.9519299697679874
VCC1871 75210957.43 5726249.84 2259999796.283105 5005772.64 72082.19 195496.28097227082 0.5455606020838555
VCC9 1854650.86 10346304.39 3079999882.9794726 1705963.08 83685.21 1598006.7152391968 2.3694306390069726
VCC1910 24411062.86 31111837.7 2100000025.4637601 16465247.88 77168.46 418052.47602584184 1.0015300512988496
VCC856 46453833.85 17838944.67 2220000130.601671 2794229.4 75877.18 532636.7158097529 1.1775099889889968
VCC140 2071339.84 7244858.68 2329999887.1949205 1758011.63 75013.34 295139.13492836175 0.7391507127131572
VCC1355 5798066.61 2698780.95 1820000050.3510032 1941265.59 65381.82 954486.0819175309 1.9638621502251816
VCC1087 21095143.42 25822016.64 3290000015.529986 31480033.73 77673.7 902437.4298880586 1.5094891648710864
VCC1861 15569674.72 21067437.71 2880000081.1739883 8377444.59 58104.69 629758.7349328963 1.211110027703311
VCC543 2579791.4 4926500.29 2189999925.1663055 1189732.38 76581.39 647689.5647872876 1.3710995869303126
VCC1431 26832721.19 21237496.02 2200000097.1487074 3533331.81 71601.58 312312.16432170547 0.7887402431693612
VCC1528 1867556.65 16527968.67 1629999983.4710054 2036572.04 51074.49 270260.39053553436 0.791939490792388
VCC1695 2507786.01 3854576.05 1689999982.0464983 1844873.22 70379.68 708844.5424825224 1.6166797555108554
VCC437 15456421.43 12124725.27 2799999797.929252 3760570.79 65237.63 1214398.4381464226 2.0014511747992336
VCC2019 15643678.37 9246585.23 1020000066.3210018 12978960.13 89045.54 378402.85113391303 1.219910024225932
VCC33 1817540.41 2908361.5 430000043.9811678 863291.55 78190.34 124275.6376062909 0.7279507536536562
VCC200 1025926.0 2220323.3 1340000005.0453262 931779.86 79136.09 343857.6572952733 1.0239298407956487
VCC21 5801679.94 8465432.75 559999965.1769203 3277974.69 64759.86 155472.64961058818 0.780739226374423
VCC1488 381043.16 1424444.21 410000040.8591639 855122.24 82090.65 125037.79314595534 0.7447508370410302
VCC1779 1345093.38 2606412.2 1020000066.3210018 1130337.39 116768.69 238849.42493884484 0.861539908967788
VCC1895 513450.63 4655527.5 760000013.5083421 1104168.46 83416.96 188719.4664341104 0.8055399802006891
VCC1545 2919204.54 15331381.15 1409999958.9124744 1891584.01 39943.76 297083.13622827205 0.899130024021427
VCC1192 50725321.06 3328284.95 1849999879.009347 5984642.36 75449.27 192215.27619484713 0.5815606322157602
VCC1857 4627256.3 9138526.0 730000067.033015 3871956.55 71105.39 484768.5090972197 1.665478382392004
VCC1075 4997901.94 5613720.72 1110000054.218535 2313197.08 65686.57 371549.858289486 1.1655201870722012
VCC1948 327950.95 3167296.0 499999995.00797296 815916.97 76388.7 170714.69245079218 0.8751399303162888
VCC1627 89033884.38 32691750.9 1029999941.4076673 27379865.37 84557.82 60717.48860735346 0.298380199507131
VCC1440 34108628.67 6848607.95 1190000105.7874153 1227061.71 52489.41 167562.71940951023 0.619950479154409
VCC2050 1557491.2 1937092.82 290000001.4029716 2079843.25 58723.53 127824.67582803794 0.8639400356230599
VCC751 5341484.89 2840029.69 1409999958.9124744 962455.13 133683.91 253031.214485294 0.7959399436642557
VCC1828 4033720.85 6120188.7 1259999869.1023529 17628354.06 74517.58 395138.4573517408 1.1639199172673584
VCC538 6237875.72 2243161.4 629999928.2612231 843476.69 91621.02 65901.9856140981 0.38556979096995425
VCC1407 10583245.19 9931889.13 1240000042.36487 1248680.74 52570.3 244210.76271219374 0.8135399791751137
VCC1886 2536448.27 2525642.51 510000028.06863296 1918900.27 117484.5 207979.24628807898 1.0087299370611897
VCC1199 33710270.87 4541236.71 580000008.5966923 12620868.75 53708.88 40659.12235816397 0.27278029831847495
VCC1539 7948661.13 10180649.56 519999947.7541275 3627088.33 71118.77 559601.2810291302 2.1038511029544327
VCC1185 6451817.09 4065013.42 889999986.382574 1356596.74 70932.64 457128.922577983 1.4798885158276074
VCC1826 19664279.9 5986385.5 609999950.8246864 1801793.53 103526.76 106240.42515609454 0.5647600916072659
VCC1489 1415711.91 3185604.45 320000015.9744843 1110657.05 73289.41 127763.88229126531 0.8319399887979404
VCC1661 12658246.25 2239859.79 430000043.9811678 1048748.15 68947.2 1485281.2547609152 4.645259712053729
SagdSph 1148153.6214968818 2780000.0 100000000.0 2162723.545267086 89154.90832649833 169903.13796926045 1.499999105253642
M31 48977881.93684466 180000000.0 80000002396.1727 7117378.322499612 66515.32650954045 6484922.645059109 2.0000000199681045
MilkyWay 25118864.315095823 45708818.96148752 40000000798.724174 5063085.868789311 66412.95248321292 4280651.774743005 1.9000017457969303
NGC205 1995262.3149688789 1819700.8586099825 329999969.698666 3353224.0738935038 78316.55351617066 82720.41413010919 0.5899999841838539
